File #,File Name,Rarity,Photo Name,Description,Image Type,Color,Location,File Format,Collector Count,Data Dropped,Score,Grade
1,Josh1-1,Ultimate,1,TH,Digital,Color,AUH,jpg,1,[16/02/2025],93.4,S
2,Josh1-2,Ultimate,2,DXB,Digital,Color,DXB,jpg,5,[20/12/2024],94.4,S
3,Josh1-3,Ultimate,,3.1,Digital,Color,RTM,jpg,6,[20/12/2024],90.6,S
4,Josh1-4,Ultimate,4,JD,Digital,Black & White,AUH,jpg,4,[20/12/2024],95.3,S
5,Josh1-5,Ultimate,5,BX,Film,Color,BRU,jpg,3,[20/12/2024],94.5,S
6,Josh1-6,Ultimate,6,PG,Film,Color,PRG,jpg,3,[20/12/2024],94.8,S
7,Josh1-7,Ultimate,7,BN,Film,Color,BCN,jpg,3,[20/12/2024],94.9,S
8,Josh1-8,Ultimate,8,AG,Film,Color,BCN,jpg,4,[20/12/2024],94.5,S
9,Josh1-9,Ultimate,,9.9,IPhone,Color,RTM,jpg,4,[20/12/2024],89.1,S
10,Josh1-10,Legendary,10,SUN,Film,Color,N/A,jpg,4,[20/12/2024],84.4,A
11,Josh1-11,Legendary,11,AUH,Digital,Black & White,AUH,jpg,1,[20/12/2024],91,S
12,Josh1-12,Legendary,12,ELI,Digital,Color,AUH,jpg,2,[20/12/2024],87.8,S
13,Josh1-13,Legendary,13,D3,Digital,Black & White,DXB,jpg,1,[20/12/2024],92.5,S
14,Josh1-14,Legendary,14,AED,Digital,Black & White,AUH,jpg,1,[20/12/2024],90.7,S
15,Josh1-15,Legendary,-,-,Digital,Black & White,AUH,jpg,0,[20/12/2024],71.6,B
16,Josh1-16,Legendary,16,BC,Digital,Color,BEY,jpg,0,[20/12/2024],91.1,S
17,Josh1-17,Legendary,,17.55,Digital,Black & White,N/A,jpg,1,[20/12/2024],84.1,A
18,Josh1-18,Legendary,18,IK,Digital,Color,RTM,jpg,2,[20/12/2024],86,S
19,Josh1-19,Legendary,-,-,Digital,Black & White,RTM,jpg,1,[20/12/2024],69,B
20,Josh1-20,Legendary,-,-,Digital,Black & White,RTM,jpg,1,[20/12/2024],68.9,B
21,Josh1-21,Legendary,,21.1,Digital,Color,RTM,jpg,3,[20/12/2024],81.1,A
22,Josh1-22,Legendary,,22.2,Digital,Color,RTM,jpg,4,[20/12/2024],80.5,A
23,Josh1-23,Legendary,,23.19,Digital,Black & White,MST,jpg,1,[20/12/2024],87.3,S
24,Josh1-24,Legendary,24,ALI,Digital,Color,BRU,jpg,1,[20/12/2024],88.8,S
25,Josh1-25,Legendary,-,-,Digital,Black & White,BRU,jpg,2,[20/12/2024],70.6,B
26,Josh1-26,Legendary,26,PIS,Digital,Black & White,BRU,jpg,1,[20/12/2024],91.1,S
27,Josh1-27,Legendary,27,HOT,Digital,Black & White,BRU,jpg,1,[20/12/2024],91,S
28,Josh1-28,Legendary,,28.3,Digital,Color,RTM,jpg,4,[20/12/2024],78.8,A
29,Josh1-29,Legendary,29,SUM,Digital,Color,RTM,jpg,1,[20/12/2024],85.6,S
30,Josh1-30,Legendary,-,-,Digital,Black & White,RTM,jpg,1,[20/12/2024],68,B
31,Josh1-31,Legendary,31,NED,Digital,Black & White,RTM,jpg,1,[20/12/2024],87.9,S
32,Josh1-32,Legendary,32,14,IPhone,Color,RTM,jpg,3,[20/12/2024],81.6,A
33,Josh1-33,Legendary,33,WT,Digital,Color,RTM,jpg,1,[20/12/2024],85.3,S
34,Josh1-34,Legendary,-,-,IPhone,Color,N/A,jpg,40,[20/12/2024],59.3,C
35,Josh1-35,Legendary,35,CH,Digital,Black & White,PEK,jpg,5,[20/12/2024],89.4,S
36,Josh1-36,Legendary,36,P,Film,Color,PRG,jpg,1,[20/12/2024],88.1,S
37,Josh1-37,Legendary,37,UK,Film,Black & White,BSH,jpg,1,[20/12/2024],90.6,S
38,Josh1-38,Legendary,38,GG,Digital,Color,DXB,jpg,1,[20/12/2024],87.7,S
39,Josh1-39,Legendary,39,AG,Digital,Color,AUH,jpg,2,[20/12/2024],85.4,S
40,Josh1-40,Rare,40,BB,Digital,Color,AUH,jpg,5,[20/12/2024],79.3,A
41,Josh1-41,Rare,41,TL,Digital,Color,AUH,jpg,31,[20/12/2024],76.9,A
42,Josh1-42,Rare,-,-,Digital,Color,AUH,jpg,1,[20/12/2024],60.7,C
43,Josh1-43,Rare,43,H,Digital,Color,AUH,jpg,1,[20/12/2024],80.6,A
44,Josh1-44,Rare,-,-,Digital,Color,AUH,jpg,2,[20/12/2024],60,C
45,Josh1-45,Rare,45,EM,Digital,Color,AUH,jpg,5,[20/12/2024],78.9,A
46,Josh1-46,Rare,-,S,Digital,Color,DXB,jpg,1,[20/12/2024],82,A
47,Josh1-47,Rare,-,-,Digital,Color,AUH,jpg,1,[29/11/2025],54.5,D
48,Josh1-48,Rare,48,ZR,Digital,Color,DXB,jpg,1,[20/12/2024],81.8,A
49,Josh1-49,Rare,49,OM,Digital,Color,SLL,jpg,0,[15/11/2025],77.6,A
50,Josh1-50,Rare,-,-,Digital,Color,AUH,jpg,1,[20/12/2024],60,C
51,Josh1-51,Rare,-,-,Digital,Color,AUH,jpg,1,[20/12/2024],59.9,C
52,Josh1-52,Rare,52,SP,Digital,Color,AUH,jpg,2,[20/12/2024],79.2,A
53,Josh1-53,Rare,53,A,IPhone,Color,AUH,jpg,1,[20/12/2024],79.7,A
54,Josh1-54,Rare,54,PP,Digital,Color,AUH,jpg,1,[20/12/2024],79.6,A
55,Josh1-55,Rare,-,-,Digital,Color,DXB,jpg,2,[20/12/2024],60.6,C
56,Josh1-56,Rare,,56.65,Digital,Color,DXB,jpg,5,[20/12/2024],68.2,B
57,Josh1-57,Rare,57,WC,IPhone,Color,AUH,jpg,9,[23/12/2024],77,A
58,Josh1-58,Rare,58,PHL,Digital,Black & White,MNL,jpg,1,[23/12/2024],83.2,A
59,Josh1-59,Rare,59,Z,Digital,Color,BEY,jpg,50,[23/12/2024],76.6,A
60,Josh1-60,Rare,60,EP,Digital,Color,AUH,jpg,3,[23/12/2024],78.1,A
61,Josh1-61,Rare,-,-,Digital,Color,AUH,jpg,1,[23/12/2024],58.9,C
62,Josh1-62,Rare,62,AMS,Digital,Color,AMS,jpg,1,[23/12/2024],80.4,A
63,Josh1-63,Rare,63,SUB,Digital,Color,RTM,jpg,69,[23/12/2024],72.5,B
64,Josh1-64,Rare,-,-,Digital,Color,RTM,jpg,1,[23/12/2024],57.4,C
65,Josh1-65,Rare,65,DOG,Digital,Color,RTM,jpg,2,[23/12/2024],76.8,A
66,Josh1-66,Rare,,66.19,IPhone,Color,RTM,jpg,1,[23/12/2024],64,C
67,Josh1-67,Rare,67,RD,Digital,Color,RTM,jpg,3,[23/12/2024],76.2,A
68,Josh1-68,Rare,-,-,Digital,Color,RTM,jpg,1,[23/12/2024],57.1,C
69,Josh1-69,Rare,-,-,Digital,Color,RTM,jpg,1,[23/12/2024],57,C
70,Josh1-70,Rare,70,JOM,Digital,Color,RTM,jpg,3,[23/12/2024],75.9,A
71,Josh1-71,Rare,71,BIK,Digital,Color,RTM,jpg,1,[23/12/2024],76.8,A
72,Josh1-72,Rare,-,-,Digital,Color,BRU,jpg,1,[23/12/2024],59.4,C
73,Josh1-73,Rare,-,-,Digital,Color,BRU,jpg,1,[15/11/2025],53.8,D
74,Josh1-74,Rare,74,KQA,Digital,Color,RTM,jpg,1,[15/11/2025],71,B
75,Josh1-75,Rare,-,-,Digital,Color,RTM,jpg,0,[15/11/2025],51.9,D
76,Josh1-76,Rare,-,-,Digital,Color,AMS,jpg,0,[15/11/2025],54.6,D
77,Josh1-77,Rare,77,RTD,Digital,Color,RTM,jpg,1,[15/11/2025],70.7,B
78,Josh1-78,Rare,,78.91,Digital,Black & White,DXB,jpg,0,[15/11/2025],61.3,C
79,Josh1-79,Rare,,79.19,Digital,Color,AUH,jpg,1,[15/11/2025],56,C
