username,rank,pubkey,first_donation_at,last_donation_at,total_droplets
0xskn,1,H6PqWq28YMfkBYR3xpcE27qzjCVeqJEZYEtQDrLNdby7,2024-12-20 18:49:59.306952Z,2025-02-22 13:16:47.640550Z,9673
PapaBearded,2,5CtjDgMcguAjoe4D8CGWLh1842PK9uf81Y1TPHGfo1CG,2024-12-27 15:35:42.068688Z,2025-05-10 11:27:04.436633Z,9255
J0M,3,5s7kFxozAmEgD1oDnvYxJJoAvFxvH5sH8e1TJCZboVyT,2024-12-20 16:58:34.545314Z,2025-04-11 06:07:33.161172Z,8214
DeFtoNy83,4,5uaPQD98yyD9Gdfi5LDZzEttBtrmiN6aj5DD5MA4dWRk,2025-01-29 23:09:23.750725Z,2025-03-14 23:31:00.510768Z,7974
GoodBoiCleck,5,9Ski9UxfnZm9tM9mbdWJ3oa3ivMCdERGruZemYVx7tFM,2024-12-24 09:34:45.432146Z,2025-01-15 07:54:03.264200Z,6505
CanaryIslander,6,DgMycE4MC94xnwFhYmkXWYJPBjpdY9A35vp5UXwGb75Y,2025-01-08 20:28:38.534951Z,2025-05-09 14:06:20.704224Z,5605
likerare,7,7TFGMc5fR9r2D8Nxc1R7JxCJrRkbo4WFYYvwbRxJgGjB,2025-01-10 12:12:07.493971Z,2025-01-10 12:12:07.493971Z,5556
In_chainz,8,CftULUypGhtYL48wMu8ScsFHB7JNP29XoZesx3avyJk3,2024-12-23 04:12:27.628342Z,2025-03-29 14:29:09.244435Z,4911
HansKristo,9,9hRtXbjjWSaZDq5RCvRTDWDqoQEnobGTzof9ZaiXYrEs,2025-02-07 16:24:56.332625Z,2025-04-10 14:32:38.147761Z,4000
zoteye,10,5aMVNPcJ5CxSN7RsPmsVy9PhFn9sKm5KajdszgW6Y78r,2024-12-21 00:30:35.880292Z,2026-01-08 15:08:59.366288Z,2826
Gustohellmen,11,5dYojcDMXsFTXeB2UHSDfRkz4pDNNEehd8Ko25zpv4De,2025-01-01 09:56:17.760707Z,2025-02-09 17:14:05.230882Z,2556
Artshopper,12,3e1bJeWnHxpY9hTaqLZmBJF5qYs7QBiHYCMR6JWapxhw,2024-12-31 15:39:35.528349Z,2024-12-31 15:39:35.528349Z,2025
Kadean,13,3UDZSYbowZaLPKF1rHhxFW4Lxou8sY67ZFo8MYCpcuKq,2024-12-22 00:53:11.016406Z,2025-12-28 18:37:42.047360Z,1540
FapMaster,14,EYJtt1aMRunLWh7Tox9oNyxoTUEa1KyD6fotNTo7kqE5,2024-12-20 17:03:40.910733Z,2025-12-08 23:44:56.081265Z,1391
Riddim,15,5tZaSfWvyMmaWqEFqgLtr12FbuuFP5NhZzteZubwEzAS,2025-10-31 12:50:40.895623Z,2026-01-10 08:45:20.929670Z,1326
IneedDrip,16,iQdBF2gXtr5Zwg6cLvj9qDYRz5ZYC8fSfDe6LgXBRnf,2025-01-10 01:12:33.472041Z,2025-01-31 13:53:23.424571Z,1323
paltee,17,hXAUuqpTnNbo8nQDQYqiMLoCjxuwzSzZUYSV4VxF5MV,2024-12-21 23:45:34.938861Z,2025-05-05 07:32:57.734630Z,1168
Parias_club_paris,18,FpSSDcU8DvreYZnvAMNchsss5ggVMZ4udzajWxb8D44X,2025-04-12 07:36:12.711807Z,2025-04-12 07:36:42.929714Z,1101
silverfoxcc,19,8Yjy7sGuKW7qDRHnnLPETPfH637PZas6Q59JoBwN3wAp,2024-12-28 04:34:01.253784Z,2024-12-28 04:34:01.253784Z,1014
thinkable_caribou,20,HERVwEYrjukYRYJn7sUaEpM8pfSoUQHMGD8RbuZP8PMu,2025-02-19 07:27:46.310960Z,2025-02-19 07:29:08.913296Z,1013
sparkling_cap,21,BsBpCjqkQfA2Ct1CENLjzXc1zX4j7pnrJNR3SehNFPJK,2025-01-30 11:35:24.611531Z,2025-01-30 11:35:24.611531Z,1000
marsh_porch_217,22,3aEAaMsU1H8Bmz9sAbmY4xjMFtmfLpjsAhxRjyWKrUZ2,2025-02-19 08:52:22.336834Z,2025-02-19 08:52:22.336834Z,1000
11LTVN,23,D257L4ehfy6FBJNExnhdqRNfqq9iccrKn5cA66oUqxR7,2025-03-13 12:23:58.506771Z,2025-03-13 12:23:58.506771Z,1000
Jdx,24,9oUDVwpbX4wWABTfXWPuHSavYXaRLAG8SJCQcA5cRwyE,2025-01-04 04:43:05.999343Z,2025-04-01 06:40:03.188766Z,924
Mayudrops,25,2KezfynEMEcYq9wjjDYAuTAn9RFtDfui4itg4e9JiADA,2025-02-18 10:50:27.935765Z,2025-08-12 16:46:22.273648Z,800
The_Big_Boss,26,AdpxQgVfSeTVq5d4gkeuj81Ynueouqz5mLBftMjesQHM,2024-12-22 19:44:13.100286Z,2025-12-08 22:32:03.156611Z,760
0xosbb,27,E8q5TALTDXFZL5gpzCxieJjLp6nErZkx4wArDqSWD5Bs,2025-01-17 16:43:49.627706Z,2025-01-17 16:43:49.627706Z,700
Alsosprach_zara,28,Bi7pfSHYbf4SZxicvW85wbNpeikSpYwSne2ZEvb4Q4gM,2025-01-01 09:34:23.815695Z,2025-02-14 20:13:27.043438Z,637
xanik,29,7i14LXYiXKN4BTdzCq2ZBBvFLPmJLKrpzd4YaDobUZB1,2024-12-24 09:58:38.412009Z,2025-10-21 20:09:54.817569Z,554
oll0x,30,Gzs3FT8ikvnpkc3iymXsHu5FwzMrFexT2McEpgDsdj4c,2025-01-03 12:36:33.112425Z,2025-01-06 08:04:07.143866Z,553
zafar_shaikh_0786,31,4uGs5t1wt7dqpTp1AmAGtWeW5c38xzUknRwaSimXzbfg,2024-12-21 05:15:53.573623Z,2025-01-16 09:48:11.084902Z,510
jsb,32,JSBx99kVZxAGG4sTm81wZRPMWfjn4fLN2KH8Cor1UGd,2025-01-17 13:56:51.099576Z,2025-01-17 13:57:27.987058Z,502
MAPIS,33,AaQenkRf3WbPY4x54ZfD3eJRnGX9PkGqzPRT6cMDvaKP,2025-04-11 09:35:59.370938Z,2025-11-04 09:26:44.971862Z,502
gratis_marsupial333,34,4dtjHXhFJGwYahM4SvXASEAkcomPHzVuNhFRQvgdZGhw,2025-03-17 09:15:55.903884Z,2025-03-17 09:16:01.442028Z,501
quartz_turtle_419,35,5yVWxa3emxeRdiL6MqrVaiLPdfZdNWp1UrYZVR2tsHXR,2025-04-12 07:47:37.061540Z,2025-04-12 07:47:37.061540Z,501
dkieliszek,36,AkHDQERrchncNjqbcQNh9ChTnEXu65ZzQJAjzmkc8cXg,2025-01-01 08:26:40.562414Z,2025-01-01 08:26:40.562414Z,500
PleinNFT,37,5ihg2YCjQucvE9tWgNL9WUcT3MAnuajsiP1rDDykLQRU,2025-01-06 06:02:59.909175Z,2025-01-06 06:02:59.909175Z,500
knotty_sulfur_796,38,A9SkwsiuUBUCQz2BBA3ZeoXjh1Md8jf11w3hGoUnJd36,2025-01-14 14:46:17.705163Z,2025-01-14 14:46:17.705163Z,500
enshrined_viper_166,39,BjXJyDC5xqThyt9fjZYZKDQtY1xXRJknypLnoqk7knvY,2025-01-27 13:28:07.464402Z,2025-01-27 13:28:07.464402Z,500
brass_sauce_187,40,HFLgJCUwWLLhtwmT1NUxEcjhDYgRgZwJvqY81PnLLfMU,2025-02-20 12:37:30.994664Z,2025-02-20 12:37:30.994664Z,500
talaatsharaf,41,4vuAE6dsPP5dAWGkqA91z9ka4dbNmBiw7pfH7zSCEtb8,2025-05-10 04:23:50.192632Z,2025-05-10 04:23:50.192632Z,500
driphauser,42,43zvbzmqjXnfcu2iavYJCMzKTmbHvXvkmMSjNGFahDxh,2025-01-10 15:24:11.884065Z,2025-03-22 14:38:02.082869Z,477
inconclusive_beret,43,DfY2HKyadQcWoUGTEkUZKza5nZcn9G6uCgJL86bCzpyS,2025-03-01 11:36:31.026262Z,2025-03-01 11:36:31.026262Z,450
Slumfavela,44,9pKNBSKe4c8yuVtj3vt9jEGXTcKcc7dGEtRcrx7vNVvN,2025-01-08 15:15:30.127032Z,2025-02-12 15:52:26.532979Z,436
remixitphotos,45,GhgwooxshrnG96oxEoKPDNGMdTCinewvMjAw2n9Mwrh6,2025-02-19 17:18:01.707340Z,2025-12-08 06:41:16.146900Z,428
Solana_Forever,46,DJXsSUDQdZTZ8S89eN26zTWFLLhUDHfWW9iNSGwM3U3W,2024-12-27 17:05:14.266113Z,2025-10-30 14:14:03.933013Z,403
Solrider,47,1KTNFBGHrfggAsnUHihgfttooUBFm2vvzWo6Gf4kunq,2024-12-26 12:25:42.667948Z,2025-02-22 07:02:45.965311Z,363
yaltaparus,48,2PmhCPedcc1iYv1wQMv8vmTy2GVsYXjcm3d5h52Ucmb1,2025-03-15 21:37:10.179769Z,2025-03-15 21:37:10.179769Z,333
Lous,49,GWMbdUsRDr5aBHqASiMeZ3vXmDY4UZAjPp2Mw64BaFvU,2026-01-09 19:29:34.874037Z,2026-01-09 19:29:34.874037Z,301
OGlads,50,F5ibyCWH8xko3QXUoH8oQGmyBh3UQuAg1UPQzrtW6tSF,2025-01-29 17:15:33.187831Z,2025-02-10 07:12:25.005091Z,300
